iter	RMSE
0	19.18783931
1	18.32947056
2	17.5236771
3	16.74686616
4	16.02590794
5	15.3546235
6	14.71653858
7	14.09778552
8	13.52341389
9	13.01096752
10	12.48755562
11	11.99874122
12	11.52527021
13	11.09322826
14	10.69235177
15	10.3011105
16	9.93927501
17	9.600027733
18	9.281084936
19	8.975343923
20	8.694641663
21	8.42595166
22	8.178322311
23	7.941017575
24	7.719179321
25	7.513493022
26	7.321268885
27	7.149891519
28	6.991863032
29	6.841125532
30	6.693510414
31	6.559219197
32	6.436484562
33	6.324155243
34	6.21735242
35	6.119791669
36	6.02859305
37	5.942694665
38	5.867854331
39	5.795833059
40	5.731687453
41	5.673639466
42	5.617941894
43	5.568717263
44	5.523282612
45	5.478241883
46	5.43866128
47	5.4025806
48	5.371730846
49	5.341119029
50	5.312816544
51	5.286852645
52	5.263109374
53	5.241592288
54	5.222115086
55	5.20384612
56	5.186645758
57	5.170909645
58	5.160140446
59	5.14734617
60	5.13500463
61	5.124238861
62	5.115918699
63	5.10599686
64	5.097202637
65	5.088818839
66	5.080264812
67	5.072960875
68	5.066466768
69	5.059791219
70	5.054601874
71	5.048855009
72	5.043437877
73	5.040318646
74	5.036134544
75	5.030432506
76	5.026891783
77	5.02330868
78	5.019880083
79	5.016518481
80	5.012272533
81	5.0086998
82	5.006568893
83	5.005577636
84	5.003553873
85	5.001001913
86	4.998720882
87	4.99671668
88	4.995357365
89	4.992378773
90	4.988973503
91	4.985245797
92	4.982325796
93	4.981511268
94	4.978495685
95	4.976234598
96	4.975847947
97	4.972245844
98	4.971504412
99	4.971148633
100	4.970820285
101	4.970029202
102	4.967495664
103	4.965058877
104	4.963481674
105	4.960023888
106	4.958078994
107	4.957558493
108	4.955024296
109	4.951427388
110	4.950781054
111	4.948816811
112	4.945051563
113	4.944660517
114	4.942380379
115	4.940774025
116	4.938064392
117	4.935739144
118	4.935497458
119	4.933637781
120	4.93172844
121	4.930522625
122	4.925139906
123	4.922779354
124	4.917393413
125	4.915807869
126	4.914302619
127	4.910983713
128	4.908080768
129	4.906572393
130	4.906363766
131	4.906216372
132	4.90609728
133	4.902493055
134	4.898681109
135	4.89669216
136	4.895160749
137	4.893656758
138	4.89357996
139	4.891065646
140	4.890813994
141	4.889713182
142	4.887981619
143	4.887879065
144	4.885700881
145	4.883379389
146	4.88114538
147	4.8810623
148	4.879660997
149	4.875977429
150	4.873531698
151	4.868413573
152	4.866168578
153	4.861737425
154	4.859697481
155	4.857887892
156	4.85536392
157	4.850923969
158	4.847835158
159	4.845565189
160	4.842186542
161	4.839788369
162	4.836864506
163	4.835083722
164	4.832846143
165	4.83204198
166	4.830516898
167	4.829417454
168	4.8254567
169	4.823074532
170	4.820371828
171	4.817726039
172	4.814661196
173	4.812706428
174	4.812606638
175	4.812419401
176	4.812345077
177	4.808770578
178	4.808512124
179	4.806916857
180	4.804728594
181	4.80192175
182	4.799674439
183	4.799556811
184	4.797427247
185	4.797240844
186	4.794722916
187	4.791970192
188	4.787529148
189	4.785851098
190	4.783999499
191	4.782108316
192	4.779017233
193	4.776353641
194	4.772813402
195	4.772813336
196	4.769964618
197	4.766475595
198	4.764699896
199	4.764286184
200	4.761751208
201	4.760512399
202	4.756692159
203	4.754747404
204	4.752045816
205	4.748960677
206	4.745594885
207	4.74293822
208	4.741244891
209	4.739044121
210	4.736824763
211	4.735492028
212	4.732012063
213	4.730681323
214	4.728317262
215	4.725817533
216	4.724420589
217	4.719581681
218	4.715603147
219	4.71335811
220	4.711778641
221	4.710120369
222	4.706412229
223	4.704989001
224	4.702532167
225	4.700771362
226	4.699233936
227	4.69922588
228	4.696773514
229	4.694327816
230	4.692303963
231	4.68997587
232	4.687395511
233	4.68432174
234	4.681875396
235	4.678859467
236	4.675785176
237	4.673350177
238	4.673340166
239	4.671112248
240	4.66901126
241	4.667537105
242	4.665382272
243	4.663358741
244	4.661163059
245	4.659481542
246	4.658289131
247	4.656451496
248	4.654315533
249	4.652537909
250	4.651858244
251	4.64970846
252	4.648479072
253	4.645782363
254	4.642087109
255	4.640623209
256	4.639306306
