iter	Passed	Remaining
0	617	315405
1	1049	267534
2	1554	263756
3	1775	225504
4	2243	227447
5	2736	230759
6	3211	231659
7	3699	233053
8	4189	234172
9	4265	214135
10	4732	215533
11	4962	206761
12	5439	208780
13	5568	198094
14	6052	200540
15	6551	203102
16	7032	204783
17	7511	206158
18	8092	209966
19	8656	212943
20	8808	205952
21	9328	207764
22	9793	208221
23	10079	204954
24	10545	205430
25	10990	205439
26	11449	205675
27	11910	205875
28	12014	200098
29	12473	200405
30	12936	200718
31	13405	201082
32	13866	201267
33	14323	201373
34	14770	201296
35	15233	201423
36	15710	201688
37	15830	197462
38	16288	197549
39	16792	198151
40	17282	198539
41	17782	198990
42	18233	198874
43	18356	195245
44	18472	191699
45	18947	191941
46	19122	189193
47	19590	189373
48	20074	189682
49	20514	189557
50	20962	189484
51	21400	189310
52	21852	189252
53	22312	189241
54	22758	189106
55	23204	188950
56	23653	188816
57	24098	188630
58	24145	185390
59	24599	185315
60	25046	185180
61	25499	185077
62	25565	182204
63	26032	182229
64	26472	182052
65	26954	182147
66	27410	182051
67	27999	182822
68	28473	182808
69	28923	182632
70	29072	180578
71	29525	180432
72	29990	180352
73	30061	177928
74	30501	177722
75	30971	177677
76	31147	175961
77	31601	175836
78	32048	175660
79	32486	175425
80	32933	175237
81	33392	175104
82	33496	173134
83	33529	170841
84	33656	169074
85	34096	168895
86	34544	168753
87	35021	168741
88	35223	167412
89	35682	167313
90	36155	167270
91	36627	167211
92	37130	167288
93	37182	165342
94	37634	165196
95	38062	164939
96	38112	163058
97	38565	162917
98	38647	161227
99	38697	159431
100	38730	157605
101	38813	156015
102	39262	155906
103	39762	155993
104	40244	155994
105	40709	155924
106	41160	155793
107	41239	154265
108	41697	154165
109	42154	154057
110	42263	152682
111	42750	152678
112	43212	152580
113	43285	151119
114	43732	150973
115	44180	150822
116	44625	150658
117	45069	150486
118	45136	149063
119	45572	148871
120	46014	148690
121	46454	148502
122	46904	148339
123	47403	148326
124	47847	148134
125	48278	147900
126	48721	147699
127	49205	147616
128	49667	147462
129	50160	147394
130	50215	146047
131	50280	144746
132	50329	143421
133	50777	143239
134	51221	143041
135	51678	142874
136	52129	142690
137	52577	142493
138	52614	141188
139	53063	140996
140	53111	139746
141	53548	139526
142	53979	139289
143	54031	138080
144	54466	137855
145	54916	137666
146	55411	137586
147	55447	136372
148	55921	136237
149	56365	136027
150	56820	135841
151	57260	135616
152	57723	135443
153	58163	135210
154	58606	134983
155	59088	134843
156	59525	134596
157	59969	134362
158	60412	134123
159	60855	133882
160	61339	133728
161	61784	133485
162	62267	133321
163	62692	133030
164	63130	132764
165	63574	132511
166	64004	132225
167	64439	131946
168	64900	131720
169	65350	131469
170	65787	131190
171	66228	130917
172	66664	130631
173	67110	130363
174	67158	129328
175	67251	128388
176	67314	127402
177	67797	127216
178	67907	126330
179	68349	126067
180	68793	125805
181	69240	125546
182	69680	125273
183	69749	124335
184	70180	124048
185	70243	123115
186	70685	122848
187	71132	122589
188	71585	122338
189	72027	122067
190	72465	121786
191	72937	121562
192	73402	121323
193	73845	121045
194	74301	120787
195	74332	119842
196	74787	119583
197	75242	119323
198	75693	119055
199	75795	118241
200	76247	117974
201	76638	117613
202	76907	117065
203	77137	116462
204	77499	116060
205	77897	115712
206	78249	115294
207	78517	114756
208	78843	114304
209	79123	113787
210	79371	113226
211	79642	112701
212	79876	112127
213	80154	111617
214	80396	111059
215	80694	110581
216	80931	110022
217	81209	109520
218	81451	108973
219	81676	108407
220	81922	107871
221	82198	107376
222	82480	106891
223	82750	106393
224	82972	105835
225	83203	105292
226	83488	104820
227	83509	104020
228	83769	103522
229	84046	103048
230	84305	102552
231	84594	102096
232	84841	101591
233	85073	101070
234	85343	100596
235	85588	100095
236	85830	99592
237	86069	99088
238	86100	98348
239	86343	97856
240	86592	97371
241	86817	96862
242	87042	96355
243	87271	95855
244	87532	95392
245	87821	94961
246	88079	94498
247	88301	93998
248	88552	93531
249	88802	93064
250	89035	92582
251	89256	92089
252	89477	91599
253	89759	91173
254	90020	90726
255	90242	90242
256	90533	89828
257	90785	89377
258	91027	88919
259	91288	88479
260	91521	88014
261	91789	87585
262	92038	87138
263	92284	86691
264	92559	86272
265	92793	85816
266	93013	85349
267	93313	84957
268	93586	84541
269	93693	83977
270	93912	83516
271	94147	83070
272	94386	82631
273	94609	82179
274	94929	81811
275	95201	81404
276	95479	81002
277	95744	80591
278	96102	80257
279	96370	79849
280	96601	79412
281	96832	78976
282	97060	78539
283	97291	78107
284	97512	77667
285	97739	77234
286	97966	76803
287	98198	76376
288	98433	75954
289	98611	75488
290	98862	75081
291	99086	74654
292	99349	74258
293	99591	73846
294	99834	73437
295	99987	72964
296	100204	72538
297	100320	72042
298	100564	71639
299	100811	71240
300	101061	70843
301	101306	70444
302	101558	70051
303	101815	69663
304	101905	69161
305	102136	68758
306	102373	68360
307	102613	67964
308	102652	67438
309	102892	67046
310	103123	66649
311	103190	66147
312	103406	65744
313	103633	65348
314	103922	64992
315	104176	64616
316	104393	64216
317	104640	63837
318	104686	63337
319	104768	62861
320	105031	62495
321	105259	62109
322	105484	61722
323	105698	61331
324	105927	60949
325	106183	60583
326	106255	60114
327	106499	59743
328	106739	59372
329	106994	59009
330	107221	58631
331	107441	58251
332	107469	57769
333	107685	57389
334	107967	57045
335	108200	56676
336	108502	56343
337	108579	55896
338	108849	55548
339	108937	55109
340	109196	54758
341	109466	54413
342	109623	54012
343	109875	53659
344	110154	53321
345	110413	52972
346	110697	52637
347	110944	52284
348	111229	51949
349	111489	51603
350	111529	51157
351	111814	50824
352	112060	50475
353	112286	50116
354	112556	49778
355	112720	49394
356	112832	48988
357	112899	48565
358	113123	48211
359	113339	47854
360	113592	47513
361	113844	47173
362	114069	46822
363	114306	46476
364	114556	46136
365	114806	45797
366	115052	45456
367	115091	45035
368	115322	44691
369	115545	44344
370	115788	44005
371	116058	43678
372	116301	43340
373	116552	43005
374	116864	42694
375	117193	42388
376	117463	42062
377	117751	41742
378	118018	41415
379	118298	41093
380	118555	40763
381	118821	40436
382	119081	40108
383	119348	39782
384	119570	39442
385	119810	39109
386	120064	38780
387	120318	38452
388	120569	38123
389	120827	37797
390	121053	37461
391	121280	37126
392	121517	36795
393	121776	36471
394	122004	36138
395	122249	35810
396	122514	35489
397	122777	35167
398	123012	34838
399	123102	34468
400	123349	34143
401	123615	33825
402	123869	33503
403	124115	33179
404	124364	32856
405	124581	32526
406	124818	32201
407	125063	31879
408	125305	31556
409	125548	31233
410	125768	30906
411	125999	30582
412	126228	30258
413	126448	29932
414	126679	29609
415	126901	29285
416	127094	28954
417	127312	28630
418	127541	28308
419	127765	27986
420	128076	27683
421	128112	27322
422	128342	27003
423	128564	26683
424	128799	26366
425	129045	26051
426	129279	25734
427	129500	25416
428	129703	25094
429	129928	24777
430	130151	24459
431	130373	24143
432	130604	23828
433	130827	23512
434	131052	23197
435	131283	22884
436	131504	22569
437	131722	22254
438	131934	21939
439	132144	21623
440	132367	21310
441	132595	20999
442	132832	20689
443	133057	20378
444	133278	20066
445	133505	19756
446	133724	19445
447	133955	19136
448	134180	18827
449	134398	18517
450	134626	18208
451	134848	17900
452	135074	17592
453	135287	17283
454	135512	16976
455	135742	16670
456	135971	16364
457	136185	16056
458	136400	15749
459	136630	15445
460	136855	15140
461	137090	14836
462	137308	14531
463	137523	14226
464	137755	13923
465	137976	13619
466	138199	13316
467	138409	13012
468	138633	12710
469	138860	12408
470	139107	12109
471	139329	11807
472	139558	11506
473	139776	11205
474	140009	10906
475	140247	10606
476	140477	10307
477	140719	10009
478	140960	9711
479	141195	9413
480	141425	9114
481	141507	8807
482	141728	8509
483	141952	8212
484	142173	7914
485	142393	7617
486	142613	7321
487	142838	7024
488	143066	6729
489	143300	6433
490	143535	6138
491	143765	5844
492	143991	5549
493	144212	5254
494	144434	4960
495	144647	4666
496	144871	4372
497	145095	4079
498	145333	3786
499	145559	3493
500	145783	3200
501	146015	2908
502	146250	2616
503	146297	2322
504	146533	2031
505	146756	1740
506	146984	1449
507	147021	1157
508	147254	867
509	147471	578
510	147749	289
511	147990	0
