iter	Passed	Remaining
0	59	9447
1	124	9753
2	211	11022
3	290	11239
4	360	11096
5	426	10871
6	490	10643
7	552	10432
8	616	10268
9	689	10277
10	760	10230
11	851	10429
12	929	10434
13	1014	10505
14	1096	10525
15	1190	10641
16	1276	10660
17	1358	10641
18	1425	10505
19	1497	10409
20	1570	10323
21	1655	10311
22	1744	10316
23	1831	10302
24	1910	10238
25	1977	10118
26	2040	9976
27	2105	9849
28	2170	9728
29	2234	9610
30	2298	9490
31	2361	9372
32	2422	9247
33	2485	9136
34	2545	9017
35	2612	8924
36	2692	8877
37	2784	8865
38	2871	8836
39	2958	8802
40	3035	8735
41	3118	8687
42	3201	8635
43	3261	8525
44	3334	8446
45	3394	8337
46	3456	8236
47	3526	8154
48	3601	8084
49	3685	8033
50	3775	7995
51	3897	8019
52	4025	8050
53	4102	7977
54	4176	7896
55	4247	7812
56	4324	7738
57	4399	7661
58	4479	7593
59	4569	7540
60	4645	7463
61	4712	7373
62	4783	7289
63	4847	7195
64	4914	7107
65	4982	7020
66	5060	6948
67	5129	6865
68	5193	6774
69	5261	6690
70	5330	6606
71	5402	6527
72	5470	6444
73	5537	6360
74	5600	6272
75	5665	6187
76	5729	6101
77	5797	6020
78	5862	5936
79	5925	5850
80	5993	5771
81	6058	5688
82	6120	5604
83	6175	5513
84	6237	5430
85	6307	5354
86	6378	5278
87	6445	5200
88	6513	5122
89	6585	5049
90	6659	4976
91	6729	4901
92	6803	4828
93	6876	4754
94	6940	4675
95	7007	4598
96	7073	4521
97	7140	4444
98	7210	4370
99	7279	4294
100	7356	4224
101	7444	4160
102	7530	4094
103	7599	4018
104	7661	3939
105	7724	3862
106	7801	3791
107	7869	3716
108	7931	3638
109	8009	3567
110	8078	3493
111	8144	3417
112	8208	3341
113	8275	3266
114	8349	3194
115	8417	3120
116	8480	3044
117	8545	2969
118	8616	2896
119	8713	2831
120	8782	2758
121	8847	2683
122	8916	2609
123	8991	2537
124	9054	2462
125	9122	2389
126	9185	2314
127	9247	2239
128	9312	2165
129	9374	2091
130	9441	2018
131	9502	1943
132	9565	1870
133	9630	1796
134	9696	1723
135	9758	1650
136	9823	1577
137	9885	1504
138	9946	1431
139	10014	1359
140	10075	1286
141	10137	1213
142	10202	1141
143	10264	1069
144	10328	997
145	10394	925
146	10456	853
147	10525	782
148	10593	710
149	10655	639
150	10721	568
151	10785	496
152	10850	425
153	10914	354
154	10993	283
155	11066	212
156	11141	141
157	11210	70
158	11274	0
