iter	RMSE
0	50.9870929
1	48.52954066
2	46.16772619
3	43.93596382
4	41.81524548
5	39.80096646
6	37.88430146
7	36.06367131
8	34.32434558
9	32.70486283
10	31.13351047
11	29.64299114
12	28.24567348
13	26.90483403
14	25.63640623
15	24.43891155
16	23.29435946
17	22.22457911
18	21.20258611
19	20.22125112
20	19.29560391
21	18.41951556
22	17.58665462
23	16.80979735
24	16.07512131
25	15.3685234
26	14.70638535
27	14.07850419
28	13.49622597
29	12.93103568
30	12.40314993
31	11.90887569
32	11.43859633
33	10.99719102
34	10.57919834
35	10.19144532
36	9.824350703
37	9.481217648
38	9.153749187
39	8.853280835
40	8.56829968
41	8.306132513
42	8.057762578
43	7.824806613
44	7.612460157
45	7.414167653
46	7.22496815
47	7.050444902
48	6.889257126
49	6.740494205
50	6.603296587
51	6.477792516
52	6.36261622
53	6.253945001
54	6.152496902
55	6.05825248
56	5.974158246
57	5.899398301
58	5.826742324
59	5.759895886
60	5.699901635
61	5.642744798
62	5.591623007
63	5.544696226
64	5.499994991
65	5.459863155
66	5.423656164
67	5.389514812
68	5.360661715
69	5.332509525
70	5.307233682
71	5.285571986
72	5.264292238
73	5.245310124
74	5.227271019
75	5.210509137
76	5.195598256
77	5.182371059
78	5.169450755
79	5.15811359
80	5.147707911
81	5.138688008
82	5.13021192
83	5.122853523
84	5.115669712
85	5.108571548
86	5.101849623
87	5.09626768
88	5.090863895
89	5.085839179
90	5.081611246
91	5.077060129
92	5.073238651
93	5.069690132
94	5.066108364
95	5.06257782
96	5.059414344
97	5.056110441
98	5.053186206
99	5.050348472
100	5.048089099
101	5.045550839
102	5.042902828
103	5.040592586
104	5.038283484
105	5.035884926
106	5.033751128
107	5.03164986
108	5.030225708
109	5.02853944
110	5.026631509
111	5.025284967
112	5.023875443
113	5.022700086
114	5.021496377
115	5.020205003
116	5.018939167
117	5.017449944
118	5.015768407
119	5.014219864
120	5.013869531
121	5.012535462
122	5.011348872
123	5.009956694
124	5.008886866
125	5.007951347
126	5.006324599
127	5.005315005
128	5.004170426
129	5.002954939
130	5.001912039
131	5.000636375
132	4.999550031
133	4.998585378
134	4.9972639
135	4.996458664
136	4.995551061
137	4.994482015
138	4.993490845
139	4.992231447
140	4.991328253
141	4.990389065
142	4.989477221
143	4.988562687
144	4.987598993
145	4.986552366
146	4.985164561
147	4.983830066
148	4.982607036
149	4.981609115
150	4.980735546
151	4.979674314
152	4.979062437
153	4.978139446
154	4.977067116
155	4.976116515
156	4.975015652
157	4.974029482
158	4.973177757
