iter	RMSE
0	19.19850406
1	18.3541713
2	17.54731616
3	16.77945466
4	16.07010115
5	15.38121463
6	14.7377144
7	14.11732098
8	13.52938206
9	12.98070688
10	12.46139621
11	11.97770755
12	11.51556457
13	11.08934454
14	10.67134872
15	10.27947317
16	9.912640853
17	9.579760489
18	9.252975451
19	8.950092893
20	8.666996426
21	8.397578496
22	8.148021887
23	7.911994921
24	7.699155496
25	7.493088403
26	7.304425044
27	7.124245182
28	6.959001126
29	6.80562959
30	6.664482501
31	6.532579095
32	6.40916092
33	6.296332381
34	6.192681202
35	6.097450854
36	6.011216905
37	5.928758245
38	5.851114729
39	5.782193251
40	5.718429339
41	5.659286437
42	5.604173911
43	5.55456053
44	5.508932381
45	5.467334379
46	5.43151269
47	5.394814869
48	5.362794649
49	5.332592359
50	5.305647066
51	5.281244332
52	5.259338092
53	5.241309379
54	5.222141089
55	5.205557728
56	5.189586623
57	5.176166056
58	5.162155316
59	5.150086979
60	5.139064756
61	5.129211057
62	5.119950646
63	5.111379374
64	5.102788239
65	5.094884398
66	5.087963291
67	5.081700403
68	5.075882033
69	5.070705209
70	5.0652916
71	5.061190169
72	5.056968093
73	5.052885469
74	5.049076126
75	5.04572212
76	5.043292342
77	5.040412637
78	5.037706145
79	5.035318441
80	5.032869141
81	5.030830221
82	5.028688225
83	5.027450093
84	5.025684565
85	5.024089022
86	5.022252344
87	5.020750017
88	5.019608533
89	5.018620903
90	5.017513142
91	5.016628191
92	5.016063076
93	5.014913384
94	5.013641197
95	5.012922307
96	5.012105431
97	5.011172153
98	5.010181078
99	5.009275352
100	5.008938808
101	5.008212394
102	5.007466898
103	5.006892751
104	5.006202686
105	5.00564798
106	5.004607388
107	5.003590276
108	5.002154126
109	5.001673352
110	5.001420982
111	5.000949748
112	5.000558089
113	5.000060069
114	4.999687407
115	4.999594566
116	4.998818784
117	4.997947054
118	4.997269956
119	4.996741814
120	4.995779129
121	4.995072708
122	4.994896771
123	4.99448529
124	4.993977749
125	4.993264673
126	4.992031937
127	4.99144476
128	4.990484205
129	4.989641561
130	4.988875845
131	4.98797558
132	4.987458441
133	4.98683326
134	4.986134146
135	4.985613862
136	4.984851855
137	4.98407159
138	4.98329673
139	4.982870899
140	4.982187804
141	4.981556279
142	4.980941922
143	4.98000485
144	4.979177294
145	4.978677627
146	4.977734672
147	4.976897186
148	4.976262256
149	4.975835717
150	4.975721313
151	4.974982002
152	4.974367642
153	4.973646196
154	4.972528706
155	4.972310055
156	4.971702416
157	4.97143939
158	4.970698512
159	4.970146908
160	4.96939493
161	4.968375645
162	4.96744366
163	4.96703992
164	4.966114398
165	4.965573141
166	4.964857837
167	4.964061794
168	4.963707634
169	4.963521326
170	4.963179609
171	4.963168033
172	4.963118316
173	4.962459513
174	4.961847418
175	4.96105483
176	4.960731177
177	4.960731176
178	4.959933013
179	4.959618195
180	4.959180691
181	4.958671245
182	4.957954772
183	4.957625438
184	4.95703036
185	4.956367689
186	4.955972146
187	4.955019003
188	4.954994237
189	4.954698053
190	4.954090309
191	4.953218076
192	4.952791598
193	4.952159922
194	4.951352497
195	4.950714307
196	4.950188401
197	4.94978026
198	4.948961837
199	4.948552211
200	4.947884363
201	4.947166254
202	4.946349719
203	4.945734318
204	4.945020605
205	4.944001057
206	4.943734053
207	4.943049401
208	4.942208488
209	4.941071049
