iter	Passed	Remaining
0	83	83683
1	167	83460
2	254	84469
3	345	85938
4	431	85925
5	512	84842
6	591	83855
7	671	83259
8	757	83440
9	846	83758
10	946	85092
11	1046	86197
12	1145	86935
13	1243	87606
14	1381	90717
15	1590	97787
16	1684	97390
17	1781	97188
18	1882	97181
19	1994	97737
20	2087	97304
21	2186	97218
22	2290	97313
23	2405	97823
24	2521	98345
25	2616	98023
26	2714	97818
27	2817	97794
28	2922	97857
29	3013	97440
30	3099	96885
31	3181	96254
32	3276	96022
33	3365	95606
34	3453	95225
35	3544	94903
36	3630	94495
37	3711	93968
38	3794	93490
39	3878	93086
40	3961	92661
41	4063	92681
42	4142	92204
43	4225	91816
44	4306	91391
45	4388	91010
46	4466	90564
47	4554	90325
48	4637	89998
49	4714	89578
50	4796	89260
51	4902	89381
52	5008	89497
53	5097	89299
54	5192	89214
55	5307	89462
56	5413	89557
57	5508	89459
58	5615	89556
59	5705	89386
60	5804	89348
61	5899	89259
62	5996	89179
63	6090	89073
64	6173	88798
65	6254	88510
66	6343	88339
67	6420	88001
68	6500	87712
69	6577	87390
70	6655	87089
71	6739	86866
72	6816	86555
73	6899	86332
74	6980	86091
75	7061	85857
76	7101	85131
77	7180	84879
78	7261	84659
79	7350	84530
80	7435	84357
81	7517	84160
82	7598	83944
83	7656	83492
84	7742	83348
85	7824	83158
86	7906	82975
87	7984	82748
88	8057	82476
89	8105	81958
90	8189	81805
91	8226	81188
92	8263	80590
93	8344	80429
94	8427	80280
95	8475	79808
96	8552	79614
97	8632	79453
98	8717	79335
99	8792	79132
100	8822	78525
101	8901	78368
102	8979	78199
103	9055	78013
104	9135	77867
105	9211	77689
106	9291	77545
107	9376	77439
108	9462	77350
109	9549	77263
110	9612	76986
111	9690	76834
112	9770	76693
113	9854	76585
114	9932	76433
115	9956	75871
116	10033	75722
117	10207	76294
118	10287	76162
119	10363	76000
120	10450	75914
121	10535	75821
122	10573	75388
123	10653	75262
124	10732	75125
125	10811	74991
126	10892	74874
127	10969	74729
128	11050	74612
129	11137	74536
130	11216	74404
131	11297	74291
132	11373	74142
133	11452	74013
134	11530	73881
135	11606	73738
136	11688	73628
137	11773	73541
138	11857	73446
139	11935	73318
140	12029	73286
141	12108	73160
142	12187	73038
143	12268	72931
144	12354	72846
145	12436	72742
146	12520	72651
147	12610	72596
148	12698	72526
149	12781	72430
150	12821	72088
151	12901	71976
152	12980	71860
153	13054	71714
154	13134	71601
155	13216	71503
156	13307	71454
157	13394	71382
158	13496	71387
159	13600	71403
160	13712	71457
161	13807	71423
162	13913	71445
163	13996	71348
164	14087	71288
165	14194	71313
166	14316	71408
167	14397	71302
168	14481	71208
169	14558	71078
170	14643	70989
171	14665	70597
172	14693	70241
173	14777	70149
174	14856	70037
175	14943	69963
176	15034	69906
177	15048	69495
178	15135	69421
179	15212	69301
180	15312	69287
181	15396	69201
182	15477	69098
183	15557	68991
184	15635	68881
185	15721	68800
186	15802	68702
187	15882	68600
188	15905	68248
189	15974	68102
190	16057	68013
191	16136	67907
192	16215	67803
193	16299	67716
194	16377	67611
195	16463	67534
196	16551	67465
197	16630	67363
198	16710	67260
199	16793	67173
200	16885	67120
201	16992	67129
202	17084	67074
203	17176	67021
204	17268	66966
205	17355	66895
206	17458	66883
207	17548	66819
208	17638	66757
209	17735	66719
