iter	RMSE
0	16.90564
1	16.15372016
2	15.46788114
3	14.79368877
4	14.26778498
5	13.78416351
6	13.30636981
7	12.88913173
8	12.58884791
9	12.26849333
10	11.98305871
11	11.7199931
12	11.51266154
13	11.32832145
14	11.13233388
15	10.97580098
16	10.8178033
17	10.66796276
18	10.53987168
19	10.4433034
20	10.36592082
21	10.25647348
22	10.15999347
23	10.10448764
24	10.01933125
25	9.90914278
26	9.820559871
27	9.761110241
28	9.697461703
29	9.627809758
30	9.582352264
31	9.544572061
32	9.508266835
33	9.446005774
34	9.41364114
35	9.400202614
36	9.379094958
37	9.343081306
38	9.303941101
39	9.280831223
40	9.245633192
41	9.211122688
42	9.184678654
43	9.180970184
44	9.149218226
45	9.112726744
46	9.084967152
47	9.074285971
48	9.030715152
49	8.994168392
50	8.946660157
51	8.91251378
52	8.870450054
53	8.850991705
54	8.8134545
55	8.789321245
56	8.765931224
57	8.735126272
58	8.732544999
59	8.701229208
60	8.686080046
61	8.643188546
62	8.610468092
63	8.58748929
64	8.567006441
65	8.5482694
66	8.533251353
67	8.527133919
68	8.49492085
69	8.471529962
70	8.454647243
71	8.433814951
72	8.416384974
73	8.40089855
74	8.373852875
75	8.352187502
76	8.335616246
77	8.330096849
78	8.327769007
79	8.319464192
80	8.270325623
81	8.256989562
82	8.24805641
83	8.227229041
84	8.214864835
85	8.210920219
86	8.172544537
87	8.162106904
88	8.142180773
89	8.125548054
90	8.095979267
91	8.086714477
92	8.04276814
93	7.999055824
94	7.979083582
95	7.974411172
96	7.972024917
97	7.962498199
98	7.929829097
99	7.91344229
100	7.907416945
101	7.891839419
102	7.862524447
103	7.839729255
104	7.808550188
105	7.801923044
106	7.761495586
107	7.739360465
108	7.708651243
109	7.680237592
110	7.665267196
111	7.659931185
112	7.610310846
113	7.602884714
114	7.572063094
115	7.552434007
116	7.548958099
117	7.517937205
118	7.506910989
119	7.465014416
120	7.453351024
121	7.442763241
122	7.436872185
123	7.433531856
124	7.424597488
125	7.410735048
126	7.384705105
127	7.367629648
128	7.363623202
129	7.339060911
130	7.328526157
131	7.302370053
132	7.297659731
133	7.291826387
134	7.262814993
135	7.209751051
136	7.193892202
137	7.178512073
138	7.163069596
139	7.153906567
140	7.15054926
141	7.147625149
142	7.138730154
143	7.123004188
144	7.108685498
145	7.101661589
146	7.08795499
147	7.077643151
148	7.049250574
149	7.034265854
150	7.017871959
151	6.99455965
152	6.965177844
153	6.929928654
154	6.919302135
155	6.904782847
156	6.86765038
157	6.827850119
158	6.821722734
159	6.787952705
160	6.769985828
161	6.742659639
162	6.727276642
163	6.713046153
164	6.704941022
165	6.677915521
166	6.674930166
167	6.666360444
168	6.638506342
169	6.632583386
170	6.624894903
171	6.618301174
172	6.58043514
173	6.577439947
174	6.570570047
175	6.53456043
176	6.521047297
177	6.50112064
178	6.487337953
179	6.450114342
180	6.446146224
181	6.436719751
182	6.415341129
183	6.413426185
184	6.394109291
185	6.391286929
186	6.360185367
187	6.355120202
188	6.354264329
189	6.346488548
190	6.322570458
191	6.315674318
192	6.303756612
193	6.289911317
194	6.287463926
195	6.283809111
196	6.263857615
197	6.235616789
198	6.225676111
199	6.209442645
200	6.205764077
201	6.182118503
202	6.180808205
203	6.176663728
204	6.163184137
205	6.130043469
206	6.105739734
207	6.09849625
208	6.08183227
209	6.074324889
210	6.068991297
211	6.049230672
212	6.01031515
213	6.000514883
214	5.972429683
215	5.956447466
216	5.929526281
217	5.908435095
218	5.894471614
219	5.878966564
220	5.875344248
221	5.850079456
222	5.824279527
223	5.808921928
224	5.78817793
225	5.775248459
226	5.750915135
227	5.73075192
228	5.717564653
229	5.716435163
230	5.688769757
231	5.663219041
232	5.656183223
233	5.628934568
234	5.602428662
235	5.601411867
236	5.599969433
237	5.576989619
238	5.555531734
239	5.54811095
240	5.53768222
241	5.522445874
242	5.504734616
243	5.478176379
244	5.464027377
245	5.447616531
246	5.425048357
247	5.403101568
248	5.380897081
249	5.34699826
250	5.328624788
251	5.306735893
252	5.292726261
253	5.285083229
254	5.28296762
255	5.274032837
256	5.247939345
257	5.224922391
258	5.198234218
259	5.179489393
260	5.178790936
261	5.162390468
262	5.148981995
263	5.148188458
264	5.147009404
265	5.115538221
266	5.094631563
267	5.080579233
268	5.080009415
269	5.074062616
270	5.058204947
271	5.036902633
272	5.019460319
273	4.991828499
274	4.982225451
275	4.961056516
276	4.950993333
277	4.932759945
278	4.912619069
279	4.899785968
280	4.889430268
281	4.872807666
282	4.844226574
283	4.837010047
284	4.822633162
285	4.818953614
286	4.797556078
287	4.781098711
288	4.762239479
289	4.749815134
290	4.748738656
291	4.728289
292	4.718873813
293	4.691915856
294	4.690898498
295	4.672259349
296	4.664102973
297	4.640727179
298	4.625890062
299	4.618673088
