iter	Passed	Remaining
0	50	15095
1	53	7900
2	54	5436
3	56	4202
4	58	3458
5	60	2962
6	62	2610
7	64	2344
8	66	2138
9	67	1971
10	69	1835
11	71	1720
12	73	1624
13	75	1540
14	77	1467
15	79	1405
16	81	1349
17	82	1297
18	84	1252
19	86	1212
20	87	1166
21	89	1132
22	91	1102
23	92	1059
24	93	1033
25	95	1011
26	97	989
27	99	968
28	103	967
29	105	949
30	107	931
31	109	914
32	111	898
33	113	884
34	114	869
35	115	845
36	117	832
37	118	819
38	120	807
39	122	796
40	124	786
41	126	776
42	128	766
43	128	748
44	130	739
45	132	731
46	134	722
47	135	709
48	136	701
49	138	693
50	140	686
51	142	679
52	144	673
53	146	667
54	148	660
55	150	654
56	152	648
57	153	642
58	154	630
59	156	624
60	157	618
61	159	613
62	161	608
63	163	603
64	165	597
65	167	592
66	169	587
67	169	579
68	171	574
69	173	570
70	175	565
71	177	561
72	179	556
73	180	552
74	182	548
75	184	544
76	186	540
77	188	536
78	190	531
79	191	527
80	193	523
81	195	519
82	197	515
83	199	512
84	200	508
85	202	504
86	204	501
87	206	497
88	208	493
89	210	490
90	212	486
91	213	483
92	215	480
93	217	476
94	219	473
95	221	470
96	222	466
97	224	463
98	226	460
99	228	457
100	230	453
101	232	450
102	234	447
103	235	444
104	237	441
105	239	438
106	241	435
107	243	432
108	245	429
109	247	426
110	248	423
111	250	420
112	252	418
113	254	415
114	256	412
115	258	409
116	260	406
117	262	404
118	263	401
119	265	398
120	267	395
121	269	392
122	271	390
123	272	387
124	274	384
125	276	381
126	278	379
127	280	376
128	282	373
129	283	371
130	285	368
131	287	365
132	289	363
133	291	360
134	292	357
135	294	355
136	296	352
137	298	350
138	300	347
139	301	345
140	303	342
141	305	340
142	307	337
143	309	335
144	311	332
145	313	330
146	314	327
147	316	325
148	318	322
149	320	320
150	322	318
151	324	315
152	326	313
153	327	310
154	329	308
155	331	306
156	333	303
157	335	301
158	339	301
159	342	299
160	343	296
161	345	294
162	347	292
163	349	289
164	351	287
165	353	285
166	355	282
167	357	280
168	359	278
169	361	276
170	363	273
171	364	271
172	367	269
173	369	267
174	371	265
175	373	263
176	375	260
177	377	258
178	379	256
179	380	253
180	382	251
181	384	249
182	386	247
183	388	244
184	390	242
185	392	240
186	393	238
187	395	235
188	397	233
189	399	231
190	401	228
191	402	226
192	404	224
193	406	222
194	408	219
195	410	217
196	411	215
197	413	213
198	415	210
199	417	208
200	419	206
201	421	204
202	423	202
203	425	200
204	426	197
205	428	195
206	430	193
207	432	191
208	434	189
209	436	186
210	437	184
211	439	182
212	441	180
213	443	178
214	445	176
215	447	173
216	449	171
217	451	169
218	452	167
219	454	165
220	456	163
221	458	161
222	460	158
223	462	156
224	463	154
225	465	152
226	467	150
227	469	148
228	471	146
229	473	144
230	475	141
231	476	139
232	478	137
233	480	135
234	482	133
235	484	131
236	486	129
237	488	127
238	490	125
239	491	122
240	493	120
241	495	118
242	497	116
243	499	114
244	501	112
245	503	110
246	505	108
247	506	106
248	508	104
249	510	102
250	512	100
251	514	98
252	516	95
253	518	93
254	520	91
255	521	89
256	523	87
257	525	85
258	527	83
259	529	81
260	531	79
261	533	77
262	535	75
263	536	73
264	538	71
265	540	69
266	542	67
267	544	64
268	546	62
269	548	60
270	550	58
271	551	56
272	553	54
273	555	52
274	557	50
275	559	48
276	561	46
277	563	44
278	565	42
279	566	40
280	568	38
281	570	36
282	573	34
283	574	32
284	576	30
285	578	28
286	580	26
287	582	24
288	584	22
289	586	20
290	587	18
291	589	16
292	591	14
293	593	12
294	595	10
295	597	8
296	598	6
297	600	4
298	602	2
299	604	0
